year,km_driven,fuel,seller_type,transmission,owner,seats,mileage,engine_size,brake_horsepower,SalePrice
2013,87452,Diesel,Dealer,Manual,Second Owner,5,22.77,1498,98.59,4800
2018,17000,Diesel,Individual,Manual,First Owner,5,23,1498,98.96,7500
2008,66530,Petrol,Individual,Manual,Second Owner,5,18.9,1061,67,1000
2013,40000,Petrol,Individual,Manual,First Owner,5,18.5,1197,82.85,2900
2015,96500,Diesel,Individual,Manual,First Owner,5,20.5,1248,91.72,4250
2010,79000,Petrol,Individual,Manual,First Owner,5,16.8,1497,116.3,2850
2016,50000,Diesel,Individual,Manual,First Owner,7,18.49,1493,100,6250
2012,60000,Diesel,Individual,Manual,Second Owner,5,20.3,1248,75,1700
2018,35000,Petrol,Individual,Manual,First Owner,5,17.57,1193,88.7,4599.99
2015,120000,Diesel,Individual,Manual,First Owner,5,20.5,1248,91.72,4500
2019,10000,Petrol,Individual,Automatic,First Owner,5,21.21,1197,81.8,6500
2017,15000,Petrol,Individual,Manual,First Owner,5,17.19,1197,81.86,6000
2016,5000,Petrol,Individual,Manual,First Owner,5,22.74,796,47.3,3000
2009,40000,Petrol,Individual,Manual,First Owner,5,19.7,796,46.3,1500
2019,10000,Petrol,Individual,Manual,First Owner,5,18.6,1197,81.86,5900
2016,25000,Petrol,Individual,Manual,First Owner,5,21.1,814,55.2,3100
2017,53000,Petrol,Individual,Manual,First Owner,5,17.57,1193,88.7,4000
2014,110000,Diesel,Individual,Manual,Second Owner,9,12.05,2179,120,5200
2013,200000,Diesel,Individual,Manual,Second Owner,8,20.07,1461,75,3000
2019,22000,Petrol,Individual,Manual,First Owner,5,17,1197,110,10000
2003,70000,Petrol,Individual,Manual,Fourth & Above Owner,5,18.9,998,67.1,650
2015,75000,Diesel,Individual,Manual,Second Owner,5,25.8,1498,98.6,5099.99
2012,70000,Petrol,Individual,Manual,First Owner,5,18.9,998,67.1,2210
2014,64000,Petrol,Individual,Manual,Third Owner,5,15.04,1598,103.2,3900
2002,60000,Petrol,Individual,Manual,First Owner,8,11.96,1298,80,3500
2009,40000,Petrol,Individual,Manual,First Owner,5,19.7,796,46.3,1950
2010,110000,Diesel,Individual,Automatic,Second Owner,7,12.07,2967,241.4,17500
2013,60000,Diesel,Individual,Manual,First Owner,8,12.05,2179,120,6000
2015,72000,Diesel,Individual,Manual,First Owner,5,22.54,1396,88.73,6150
2013,70000,Diesel,Individual,Manual,Second Owner,5,21.9,1396,88.76,3500
2012,75000,Diesel,Individual,Manual,First Owner,5,25.44,936,57.6,1400
2017,32331,Diesel,Individual,Manual,Second Owner,5,22.54,1396,88.73,6500
2016,70000,Diesel,Individual,Manual,First Owner,5,19.67,1582,126.2,11000
2010,80000,Diesel,Individual,Manual,Second Owner,5,23,1396,90,2850
2011,20000,Petrol,Individual,Manual,Second Owner,5,18,995,62,1900
2012,110000,Petrol,Individual,Manual,First Owner,5,16.95,1498,97.7,3500
2014,40000,Petrol,Individual,Manual,Second Owner,5,18.9,1197,82,4000
2016,40000,Petrol,Individual,Automatic,First Owner,7,10.75,2694,163.7,21000
2015,90000,Petrol,Individual,Manual,Second Owner,5,18.6,1197,81.83,4349.99
2014,50000,Petrol,Individual,Manual,Second Owner,5,19.1,1197,85.8,4500
2001,137000,Petrol,Individual,Manual,First Owner,5,18.5,796,53,450
2015,60000,Petrol,Individual,Manual,First Owner,5,18.6,1197,81.83,4500
2017,30000,Diesel,Individual,Manual,First Owner,5,25.2,1248,74,5800
2016,98000,Diesel,Individual,Manual,First Owner,5,19.67,1582,126.2,9000
2016,50000,Diesel,Individual,Manual,First Owner,7,24.52,1248,88.5,7500
2009,120000,Diesel,Individual,Manual,Third Owner,5,19.09,1396,69,1400
2017,30000,Petrol,Individual,Manual,First Owner,5,18.9,1197,81.86,5250
2009,120000,Diesel,Individual,Manual,Third Owner,5,19.09,1396,69,1149.99
2016,40000,Petrol,Individual,Manual,First Owner,5,23.84,1199,84,3990
2012,90000,Diesel,Individual,Manual,Second Owner,5,19,1405,71,2750
2011,80000,Diesel,Individual,Manual,Second Owner,5,21.9,1396,90,3400
2013,200000,Diesel,Individual,Automatic,First Owner,7,11.18,2696,184,8500
2007,110000,Diesel,Individual,Manual,Second Owner,5,17.2,1396,53.5,700
2017,38000,Petrol,Individual,Manual,Second Owner,5,23.84,1199,84,4300
2017,35000,Petrol,Individual,Manual,Second Owner,5,23.84,1199,84,4300
2014,70000,Petrol,Individual,Manual,First Owner,5,20.51,998,67.04,3200
2012,120000,Diesel,Individual,Manual,Second Owner,5,21.8,1461,78,5000
2012,110000,Diesel,Individual,Manual,Second Owner,5,19.01,1461,108.45,5000
2010,140000,Diesel,Individual,Manual,First Owner,5,18.4,1248,75,2299.99
2009,155000,Diesel,Individual,Automatic,Second Owner,8,11.79,2179,120,6000
2017,80000,Diesel,Individual,Manual,Second Owner,5,23.08,1461,63.1,5000
2010,120000,Diesel,Individual,Manual,Second Owner,7,13.6,2523,63,3150
2011,80000,Petrol,Individual,Manual,First Owner,5,18.9,998,67.1,2650
2015,110000,Diesel,Individual,Manual,Second Owner,5,25.83,1498,99,3500
2012,230000,Diesel,Individual,Manual,First Owner,5,23.57,1396,70,2000
2011,172000,Diesel,Individual,Manual,Second Owner,5,17.88,1396,52.8,1149.99
2014,25000,Petrol,Individual,Manual,First Owner,5,18.6,1197,81.83,4250
2019,35000,Diesel,Individual,Manual,First Owner,5,23,1498,98.96,9000
2014,126000,Diesel,Individual,Manual,First Owner,7,12.05,2179,120,5500
2018,30000,Diesel,Individual,Manual,First Owner,5,25.5,1498,98.6,9000
2011,97000,Petrol,Individual,Manual,Third Owner,5,19.81,1086,68.05,1650
2016,120000,Diesel,Individual,Automatic,First Owner,5,19.08,1582,126.2,8500
2016,120000,Diesel,Individual,Manual,First Owner,5,23.9,1582,126.32,8500
2014,80000,Diesel,Individual,Manual,Second Owner,6,16.55,2498,105,5500
2011,60000,Diesel,Individual,Manual,Second Owner,5,19.3,1248,73.9,5000
2018,15000,Petrol,Individual,Manual,First Owner,5,21.21,1197,81.8,6300
2011,60000,Petrol,Individual,Manual,First Owner,5,19.81,1086,68.05,1600
2015,60000,Diesel,Individual,Manual,First Owner,5,25.1,1498,98.6,6700
2014,90000,Diesel,Individual,Manual,First Owner,5,22.9,1248,74,4300
2015,30000,Petrol,Individual,Manual,First Owner,5,19.1,1197,82,3750
2016,35000,Petrol,Individual,Manual,First Owner,5,18.6,1197,81.83,6500
2016,35000,Diesel,Individual,Manual,First Owner,5,26.59,1248,74,5000
2016,35000,Diesel,Individual,Manual,First Owner,5,26.59,1248,74,5000
2017,25000,Diesel,Individual,Manual,First Owner,7,16,2179,140,13500
2018,40000,Diesel,Individual,Manual,First Owner,5,21.66,1498,108.62,6000
2017,25000,Diesel,Individual,Manual,First Owner,5,19.67,1582,126.2,12000
2013,56000,Diesel,Dealer,Automatic,First Owner,4,11.2,2993,241,37500
2018,41779,Petrol,Dealer,Manual,First Owner,5,21.21,1197,81.8,7950
2016,54000,Petrol,Dealer,Manual,First Owner,5,18.7,1199,88.7,6250
2016,31000,Diesel,Dealer,Automatic,First Owner,5,13,2143,204,29000
2017,37000,Diesel,Individual,Automatic,First Owner,5,26.8,1248,74,6250
2011,90000,Diesel,Individual,Automatic,Second Owner,4,18.1,1991,147.9,4400
2018,13534,Petrol,Dealer,Manual,First Owner,5,14.28,1798,138.03,14000
2017,7000,Petrol,Dealer,Automatic,Second Owner,5,14.53,1794,138.1,14500
2017,23000,Diesel,Dealer,Automatic,First Owner,5,17.9,2143,136,27000
2017,23456,Petrol,Dealer,Manual,First Owner,5,18.9,1197,82,5500
2019,43000,Diesel,Dealer,Automatic,First Owner,8,11.36,2755,171.5,19250
2015,39000,Diesel,Dealer,Manual,First Owner,7,16,2179,140,12250
2017,15000,Petrol,Individual,Manual,First Owner,5,17.5,1199,88.7,7000
2013,40000,Diesel,Individual,Manual,First Owner,5,23.4,1248,74,5300
2020,5000,Diesel,Dealer,Automatic,First Owner,5,17.8,1493,113.4,19000
2017,70000,Diesel,Dealer,Manual,First Owner,5,28.09,1248,88.5,8449.99
2016,99000,Diesel,Dealer,Automatic,First Owner,5,21.66,1498,103.52,6500
2018,15000,Petrol,Dealer,Manual,First Owner,5,22,1197,81.8,7500
2018,28156,Diesel,Dealer,Automatic,First Owner,4,17.09,2993,261.4,60000
2015,30000,Petrol,Dealer,Manual,First Owner,5,18.7,1199,88.7,6100
2010,70000,Petrol,Individual,Manual,First Owner,5,18.6,1199,79.4,1500
2014,40000,Petrol,Individual,Manual,First Owner,5,19.1,1197,85.8,4750
2008,136500,Diesel,Individual,Manual,Fourth & Above Owner,8,12.7,2609,120,3750
2016,70000,Diesel,Individual,Manual,Second Owner,6,25.32,1198,77,4250
2015,90000,Diesel,Individual,Manual,Second Owner,5,25.1,1498,98.6,8000
1996,32000,Petrol,Individual,Manual,Second Owner,4,16.1,796,37,400
2018,8000,Petrol,Individual,Automatic,Second Owner,5,20.51,998,67,5099.99
2015,170000,Diesel,Individual,Manual,First Owner,5,23.59,1364,67.04,3870
2014,25000,Petrol,Individual,Manual,First Owner,5,22.74,796,47.3,2350
2000,120000,Diesel,Individual,Manual,Fourth & Above Owner,10,12.2,1948,68,950
2010,110000,Diesel,Individual,Manual,Third Owner,5,17.8,1248,75,3400
2016,100000,Diesel,Individual,Manual,First Owner,7,16,2179,140,10000
2009,115000,Diesel,Individual,Manual,Second Owner,5,13.8,1399,68,1600
2008,120000,Diesel,Individual,Manual,Fourth & Above Owner,8,12.7,2609,120,3650
2011,265000,Diesel,Individual,Manual,Second Owner,5,20.86,1199,75,3000
2008,90000,Diesel,Individual,Manual,Second Owner,5,17.8,1248,75,2600
2018,40000,Petrol,Individual,Automatic,First Owner,5,18.2,1199,88.7,8600
2008,55000,Petrol,Individual,Manual,Second Owner,5,13.9,1599,103.2,1149.99
2007,90000,Petrol,Individual,Manual,Second Owner,5,19.7,796,46.3,1000
2014,111000,Diesel,Individual,Manual,First Owner,5,20.34,1498,103.2,5650
2013,120000,Diesel,Individual,Manual,Second Owner,7,11.68,2498,112,4500
2017,15000,Petrol,Individual,Manual,First Owner,5,21.4,1197,83.1,6250
2016,30000,Petrol,Individual,Manual,Second Owner,5,22.74,796,47.3,2800
2017,50000,Petrol,Individual,Manual,First Owner,5,23.95,998,67.05,3300
2015,40000,Diesel,Individual,Manual,First Owner,5,19.67,1582,126.2,13000
2008,50000,Petrol,Individual,Manual,Second Owner,5,15.3,1396,70,650
2018,45000,Petrol,Individual,Manual,Second Owner,5,23.84,1199,84,4800
2016,35000,Diesel,Individual,Manual,Second Owner,5,27.28,1047,69,4000
2009,80000,Diesel,Individual,Manual,First Owner,7,13.93,2179,138,5000
2012,120000,Diesel,Individual,Manual,First Owner,7,11.68,2498,112,3200
2014,90000,Diesel,Individual,Manual,Second Owner,7,15.1,2179,140,7500
2017,100000,Diesel,Individual,Manual,First Owner,7,16.5,1493,70,6200
2011,120000,Diesel,Individual,Manual,Third Owner,5,19.3,1248,73.9,3000
2018,15000,Petrol,Individual,Manual,First Owner,5,15.8,1591,121.3,14050
2017,15000,Petrol,Individual,Manual,First Owner,5,24.7,796,47.3,2820
2017,15000,Petrol,Individual,Automatic,First Owner,5,21.21,1197,81.8,7000
2017,70000,Diesel,Individual,Manual,First Owner,5,25.83,1498,99,7000
2015,135000,Diesel,Individual,Manual,First Owner,5,22.77,1498,98.59,6000
2012,80000,Diesel,Individual,Manual,Second Owner,5,20.5,1598,103.5,2900
2011,80000,Diesel,Individual,Automatic,Second Owner,4,18.1,1991,147.9,4300
2017,19000,Petrol,Individual,Manual,First Owner,5,18.6,1197,81.83,5750
2017,42000,Petrol,Individual,Manual,First Owner,5,15.29,1591,121.3,8750
2010,77000,Petrol,Individual,Manual,First Owner,5,18.9,998,67.1,1800
2012,120000,Diesel,Individual,Manual,First Owner,5,23.2,1248,73.94,2299.99
2019,10000,Petrol,Individual,Automatic,First Owner,5,19.56,1197,81.8,8000
2009,110000,Petrol,Individual,Manual,Third Owner,5,16.5,995,63,600
2009,110000,Petrol,Individual,Manual,First Owner,5,15,1586,104.68,1500
2007,90000,Diesel,Individual,Manual,Third Owner,5,23.57,1396,70,1000
2015,90000,Petrol,Individual,Manual,First Owner,5,15.29,1591,121.3,9000
2018,50000,Diesel,Individual,Manual,First Owner,5,22.54,1396,88.73,8500
2014,50000,Diesel,Individual,Manual,First Owner,5,25.44,936,56.3,2200
2014,40000,Petrol,Individual,Manual,Second Owner,5,22.74,796,47.3,2500
2012,120000,Diesel,Individual,Manual,First Owner,5,22.3,1248,74,1250
2018,27000,Petrol,Individual,Manual,First Owner,5,15.8,1591,121.3,12000
2013,100000,Diesel,Individual,Manual,First Owner,5,23.57,1396,70,2500
2014,70000,Diesel,Individual,Manual,Second Owner,5,22.54,1396,88.73,4400
2017,40000,Petrol,Individual,Manual,First Owner,5,23.84,1199,84,4000
2002,62000,Petrol,Individual,Manual,First Owner,4,16.1,796,37,500
2018,10000,Petrol,Individual,Manual,First Owner,5,17,1591,121.3,10000
2014,160000,Diesel,Individual,Manual,First Owner,5,25.1,1498,98.6,6000
2010,60000,Petrol,Individual,Manual,First Owner,5,17,1197,80,2500
2009,110000,Diesel,Individual,Manual,First Owner,7,13.6,2523,63,3100
2005,60000,Petrol,Individual,Manual,Fourth & Above Owner,5,18.9,998,67.1,1200
2014,78000,Diesel,Individual,Manual,First Owner,7,11.68,2498,112,3900
2019,30000,Petrol,Individual,Manual,First Owner,5,20.3,1086,68,4580
2018,20000,Diesel,Individual,Manual,First Owner,5,23,1498,98.96,9500
2017,21000,Petrol,Individual,Manual,First Owner,5,22,1197,81.8,6500
2013,70000,Diesel,Individual,Manual,First Owner,5,22.9,1248,74,4000
2015,70000,Petrol,Individual,Automatic,Second Owner,5,18.9,1197,82,4000
2006,42500,Petrol,Individual,Manual,First Owner,5,19.7,796,46.3,1000
2012,25000,Petrol,Individual,Manual,First Owner,5,20.36,1197,78.9,3500
2013,80000,Diesel,Individual,Manual,Second Owner,7,13.7,2197,138.1,4500
2006,90000,Diesel,Individual,Manual,First Owner,8,12.7,2609,116.6,3500
2010,80000,Diesel,Individual,Manual,Fourth & Above Owner,5,22.07,1199,73.9,2500
2013,146000,Diesel,Individual,Manual,Second Owner,7,15.96,2523,62.1,4500
2013,47200,Petrol,Individual,Manual,Third Owner,4,16.1,796,37,1570
2018,60000,Diesel,Individual,Manual,First Owner,7,15.1,2179,152.87,15000
2018,60000,Diesel,Individual,Manual,First Owner,7,15.1,2179,152.87,15000
2007,100000,Petrol,Individual,Manual,Second Owner,5,15.3,1193,65.3,750
2010,100000,Diesel,Individual,Manual,Second Owner,10,14.8,2499,80,2800
2015,35000,Petrol,Individual,Manual,First Owner,5,18.6,1197,81.83,6000
2012,120000,Diesel,Individual,Manual,Fourth & Above Owner,7,15.3,2956,83.8,2509.99
2010,80000,Petrol,Individual,Manual,Second Owner,5,12.5,1794,132,3500
2016,34000,Petrol,Individual,Manual,First Owner,5,23.01,999,67,3000
2017,50000,Diesel,Individual,Manual,First Owner,5,19.87,1461,83.8,8199.99
2010,100000,Diesel,Individual,Manual,Second Owner,5,19.61,1405,70,4099.99
2008,52000,Petrol,Individual,Manual,Second Owner,5,13.9,1599,103.2,2750
2013,110000,Diesel,Individual,Manual,First Owner,7,20.77,1248,88.76,4970
2015,70000,Petrol,Individual,Manual,First Owner,5,18.6,1197,81.83,5000
2006,120000,Diesel,Individual,Manual,Second Owner,7,14,2523,83,1700
2016,68609,Diesel,Dealer,Manual,First Owner,5,22.7,1498,89.84,5150
2018,33360,Diesel,Dealer,Manual,First Owner,5,22.77,1498,98.59,9250
2019,5000,Diesel,Individual,Manual,First Owner,7,17.3,1497,121,14600
2019,10000,Diesel,Individual,Automatic,First Owner,7,13.8,2999,174.57,27000
2017,35000,Diesel,Individual,Manual,First Owner,5,21.5,1497,108.5,8300
2019,30000,Diesel,Individual,Manual,First Owner,5,23,1498,98.96,9750
2018,15000,Petrol,Individual,Manual,First Owner,5,20.4,1194,94.93,6200
2019,14317,Petrol,Dealer,Manual,First Owner,5,14.23,1498,104.55,8600
2018,5000,Petrol,Individual,Manual,Second Owner,5,20.63,1198,67,4300
2019,5000,Petrol,Individual,Automatic,First Owner,5,18,1497,117.6,12270
2017,28000,Petrol,Individual,Manual,First Owner,5,17.8,1497,117.3,8600
2018,40000,Diesel,Individual,Manual,First Owner,5,23,1498,98.96,9500
2012,87237,Diesel,Dealer,Manual,Second Owner,5,20,1399,68.05,2250
2011,99500,Diesel,Individual,Manual,Third Owner,7,11.5,1991,147.9,5000
2017,62960,Diesel,Dealer,Manual,First Owner,5,25.83,1498,99,5000
2019,16500,Petrol,Dealer,Automatic,First Owner,5,13.96,1451,141,17000
2014,110000,Diesel,Individual,Manual,First Owner,7,20.77,1248,88.76,5450
2011,72000,Diesel,Individual,Manual,First Owner,5,22.9,1248,74,4000
2018,50000,Diesel,Individual,Manual,First Owner,5,28.4,1248,74.02,6500
2008,55000,Petrol,Individual,Manual,Second Owner,5,13.9,1599,103.2,1149.99
2015,60000,Diesel,Individual,Manual,First Owner,5,27.39,1248,74,5620
2002,120000,Diesel,Individual,Manual,First Owner,7,14.07,2956,83.1,960
2017,9000,Diesel,Dealer,Automatic,First Owner,5,13.6,1999,177,27110
2019,20000,Petrol,Dealer,Automatic,First Owner,5,22.37,2487,214.56,51500
2017,45000,Diesel,Dealer,Automatic,First Owner,5,19.33,1999,177,32000
2015,110000,Diesel,Individual,Manual,First Owner,7,14.1,2179,147.94,5030
2019,20000,Diesel,Individual,Automatic,First Owner,5,18,1969,190,38000
2016,68089,Petrol,Dealer,Automatic,First Owner,5,19.16,2494,157.7,20000
2013,58343,Petrol,Dealer,Manual,First Owner,5,21.79,998,67.05,2250
2018,38817,Diesel,Dealer,Manual,First Owner,5,27.39,1248,74,7400
2016,56494,Petrol,Dealer,Manual,First Owner,5,18.2,1199,88.7,5500
2013,79328,Diesel,Dealer,Manual,Second Owner,7,12.99,2494,100.6,7500
2019,5621,Petrol,Dealer,Automatic,First Owner,5,22,1197,81.8,6500
2017,25538,Petrol,Dealer,Manual,First Owner,5,16.78,1496,88.73,6250
2018,69779,Petrol,Dealer,Automatic,First Owner,5,22,1197,81.8,6000
2017,56290,Diesel,Dealer,Manual,First Owner,5,24,1186,73.97,4500
2019,7500,Diesel,Dealer,Automatic,First Owner,5,16.78,1995,190,54000
2019,8500,Diesel,Dealer,Automatic,First Owner,5,16.78,1995,190,55000
2019,7032,Petrol,Dealer,Automatic,First Owner,5,19,1199,88.76,7790
2016,11000,Petrol,Dealer,Automatic,First Owner,5,14.3,1598,103.5,6450
2018,2000,Diesel,Dealer,Automatic,First Owner,5,16.8,1984,150,24750
2017,9000,Diesel,Dealer,Automatic,First Owner,5,13.6,1999,177,27110
2019,20000,Petrol,Dealer,Automatic,First Owner,5,22.37,2487,214.56,51500
2017,45000,Diesel,Dealer,Automatic,First Owner,5,19.33,1999,177,32000
2015,110000,Diesel,Individual,Manual,First Owner,7,14.1,2179,147.94,5030
2019,20000,Diesel,Individual,Automatic,First Owner,5,18,1969,190,38000
2016,68089,Petrol,Dealer,Automatic,First Owner,5,19.16,2494,157.7,20000
2013,58343,Petrol,Dealer,Manual,First Owner,5,21.79,998,67.05,2250
2018,38817,Diesel,Dealer,Manual,First Owner,5,27.39,1248,74,7400
2016,56494,Petrol,Dealer,Manual,First Owner,5,18.2,1199,88.7,5500
2013,79328,Diesel,Dealer,Manual,Second Owner,7,12.99,2494,100.6,7500
2019,5621,Petrol,Dealer,Automatic,First Owner,5,22,1197,81.8,6500
2017,25538,Petrol,Dealer,Manual,First Owner,5,16.78,1496,88.73,6250
2018,69779,Petrol,Dealer,Automatic,First Owner,5,22,1197,81.8,6000
2017,56290,Diesel,Dealer,Manual,First Owner,5,24,1186,73.97,4500
2019,7500,Diesel,Dealer,Automatic,First Owner,5,16.78,1995,190,54000
2019,8500,Diesel,Dealer,Automatic,First Owner,5,16.78,1995,190,55000
2019,7032,Petrol,Dealer,Automatic,First Owner,5,19,1199,88.76,7790
2016,11000,Petrol,Dealer,Automatic,First Owner,5,14.3,1598,103.5,6450
2018,2000,Diesel,Dealer,Automatic,First Owner,5,16.8,1984,150,24750
1999,100000,Diesel,Individual,Manual,Third Owner,5,14.8,1998,68,1550
2017,9000,Diesel,Dealer,Automatic,First Owner,5,13.6,1999,177,27110
2019,20000,Petrol,Dealer,Automatic,First Owner,5,22.37,2487,214.56,51500
2017,45000,Diesel,Dealer,Automatic,First Owner,5,19.33,1999,177,32000
2015,110000,Diesel,Individual,Manual,First Owner,7,14.1,2179,147.94,5030
2019,20000,Diesel,Individual,Automatic,First Owner,5,18,1969,190,38000
2016,68089,Petrol,Dealer,Automatic,First Owner,5,19.16,2494,157.7,20000
2013,58343,Petrol,Dealer,Manual,First Owner,5,21.79,998,67.05,2250
2018,38817,Diesel,Dealer,Manual,First Owner,5,27.39,1248,74,7400
2016,56494,Petrol,Dealer,Manual,First Owner,5,18.2,1199,88.7,5500
2013,79328,Diesel,Dealer,Manual,Second Owner,7,12.99,2494,100.6,7500
2019,5621,Petrol,Dealer,Automatic,First Owner,5,22,1197,81.8,6500
2017,25538,Petrol,Dealer,Manual,First Owner,5,16.78,1496,88.73,6250
2018,69779,Petrol,Dealer,Automatic,First Owner,5,22,1197,81.8,6000
2017,56290,Diesel,Dealer,Manual,First Owner,5,24,1186,73.97,4500
2019,7500,Diesel,Dealer,Automatic,First Owner,5,16.78,1995,190,54000
2019,8500,Diesel,Dealer,Automatic,First Owner,5,16.78,1995,190,55000
2019,7032,Petrol,Dealer,Automatic,First Owner,5,19,1199,88.76,7790
2016,11000,Petrol,Dealer,Automatic,First Owner,5,14.3,1598,103.5,6450
2018,2000,Diesel,Dealer,Automatic,First Owner,5,16.8,1984,150,24750
2015,80000,Diesel,Individual,Manual,First Owner,5,25.01,1498,89.75,5900
2016,120000,Diesel,Individual,Manual,Second Owner,5,24.4,1120,71,3500
2017,30000,Petrol,Individual,Manual,First Owner,5,20.89,1197,81.8,4849.99
2015,110000,Diesel,Individual,Manual,Second Owner,5,19.1,1405,70,2400
2008,219000,Diesel,Individual,Manual,Second Owner,8,12.8,2494,102,5000
2017,80000,Petrol,Individual,Manual,First Owner,5,24.7,796,47.3,3000
2016,80000,Diesel,Individual,Manual,First Owner,5,28.09,1248,88.5,7500
2016,35000,Petrol,Individual,Manual,Second Owner,5,20.85,1197,83.14,5740
2013,167000,Diesel,Individual,Manual,First Owner,5,22.3,1248,88.8,2000
2016,94000,Diesel,Individual,Manual,First Owner,5,19.67,1582,126.2,11000
2012,80000,Petrol,Individual,Manual,First Owner,5,17.92,1086,62.1,3500
1998,100000,Petrol,Individual,Manual,Second Owner,4,16.1,796,37,700
2005,90000,Petrol,Individual,Manual,Second Owner,5,13.8,1299,70,1200
2012,246000,Diesel,Individual,Manual,Second Owner,7,12.99,2494,100,7000
2019,10000,Petrol,Individual,Manual,First Owner,5,21.4,1197,83.1,5000
2016,90000,Diesel,Individual,Manual,First Owner,5,19.09,1405,69.01,3700
2019,5200,Petrol,Individual,Manual,First Owner,5,20.3,1199,83.81,6000
2006,120000,Petrol,Individual,Manual,Second Owner,5,17.3,993,60,1000
2013,90000,Diesel,Individual,Manual,Second Owner,5,22.9,1248,74,4099.99
2016,50000,Petrol,Individual,Automatic,First Owner,5,18,1497,117.3,7500
2017,5000,Petrol,Individual,Manual,First Owner,5,18.9,1197,81.86,6000
2018,10500,Petrol,Individual,Manual,First Owner,6,18.15,1198,82,5500
2018,26000,Diesel,Individual,Manual,First Owner,5,19.6,1461,108.45,9500
2014,139000,Diesel,Individual,Automatic,First Owner,8,11.79,2179,120,6450
2014,60000,Diesel,Individual,Manual,Second Owner,7,15.1,2179,140,7500
2006,40000,Petrol,Individual,Manual,First Owner,5,11.7,1796,178,6500
2015,25000,Petrol,Individual,Manual,First Owner,5,15.85,1499,110.4,8000
2010,60000,Petrol,Individual,Manual,Second Owner,5,14.53,1798,138,3500
2015,25000,Petrol,Individual,Manual,First Owner,5,15.85,1499,110.4,7000
2011,15000,Petrol,Individual,Manual,First Owner,5,17.5,1298,85.8,3350
2012,110000,Diesel,Individual,Manual,First Owner,5,19.3,1248,73.9,2700
2010,100000,Diesel,Individual,Manual,Second Owner,5,19.3,1248,73.9,3200
2007,120000,Petrol,Individual,Manual,First Owner,5,17.8,1086,63,1200
2010,55000,Petrol,Individual,Automatic,Second Owner,5,12.3,1781,163.2,7300
2007,120000,Petrol,Individual,Manual,Third Owner,5,15,1586,104.68,1250
2007,35000,Petrol,Individual,Manual,First Owner,5,18.2,1061,64,1500
2018,13000,Petrol,Individual,Manual,First Owner,5,24.7,796,47.3,3100
2015,50000,Diesel,Individual,Manual,First Owner,5,26.59,1248,74,6250
2012,40000,Petrol,Individual,Manual,First Owner,5,20.36,1197,78.9,2670
2016,25000,Petrol,Individual,Manual,First Owner,5,17.19,1197,81.86,6000
2011,110000,Petrol,Individual,Manual,Second Owner,7,15.37,1196,73,1800
2019,5000,Petrol,Individual,Manual,First Owner,5,23.87,1197,88.5,7000
2013,50000,Petrol,Individual,Manual,Second Owner,4,16.1,796,37,1210
2014,80000,Petrol,Individual,Manual,Third Owner,5,18.9,1197,82,3500
2012,225000,Diesel,Individual,Manual,Second Owner,8,12.99,2494,100,8699.99
2017,9000,Diesel,Dealer,Automatic,First Owner,5,13.6,1999,177,27110
2019,20000,Petrol,Dealer,Automatic,First Owner,5,22.37,2487,214.56,51500
2017,45000,Diesel,Dealer,Automatic,First Owner,5,19.33,1999,177,32000
2015,110000,Diesel,Individual,Manual,First Owner,7,14.1,2179,147.94,5030
2019,20000,Diesel,Individual,Automatic,First Owner,5,18,1969,190,38000
2016,68089,Petrol,Dealer,Automatic,First Owner,5,19.16,2494,157.7,20000
2013,58343,Petrol,Dealer,Manual,First Owner,5,21.79,998,67.05,2250
2018,38817,Diesel,Dealer,Manual,First Owner,5,27.39,1248,74,7400
2016,56494,Petrol,Dealer,Manual,First Owner,5,18.2,1199,88.7,5500
2013,79328,Diesel,Dealer,Manual,Second Owner,7,12.99,2494,100.6,7500
2019,5621,Petrol,Dealer,Automatic,First Owner,5,22,1197,81.8,6500
2017,25538,Petrol,Dealer,Manual,First Owner,5,16.78,1496,88.73,6250
2018,69779,Petrol,Dealer,Automatic,First Owner,5,22,1197,81.8,6000
2017,56290,Diesel,Dealer,Manual,First Owner,5,24,1186,73.97,4500
2019,7500,Diesel,Dealer,Automatic,First Owner,5,16.78,1995,190,54000
2019,8500,Diesel,Dealer,Automatic,First Owner,5,16.78,1995,190,55000
2019,7032,Petrol,Dealer,Automatic,First Owner,5,19,1199,88.76,7790
2016,11000,Petrol,Dealer,Automatic,First Owner,5,14.3,1598,103.5,6450
2018,2000,Diesel,Dealer,Automatic,First Owner,5,16.8,1984,150,24750
2008,100000,Petrol,Individual,Manual,Third Owner,5,17.3,1061,64,800
2008,93331,Petrol,Individual,Manual,Second Owner,5,19.81,1086,68.05,1200
2012,120000,Diesel,Individual,Manual,Second Owner,5,13.5,2179,115,3700
2015,70000,Diesel,Individual,Manual,First Owner,5,19.01,1461,108.5,7500
2015,100000,Diesel,Individual,Manual,First Owner,9,15.96,2523,63,4849.99
2006,90000,Diesel,Individual,Manual,Second Owner,5,13.1,1493,82,1200
2017,28000,Petrol,Individual,Manual,First Owner,5,17.8,1497,117.3,8600
2018,50000,Diesel,Individual,Manual,First Owner,5,28.4,1248,74.02,6500
2014,90000,Diesel,Individual,Manual,First Owner,7,20.77,1248,88.8,6500
2016,40000,Diesel,Individual,Manual,First Owner,5,24.8,1396,88.7,7100
